League ID;Name;Country
1101;Club Fiendlies 1;World
2450;Club Friendlies 2;World
2451;Club Friendlies 3;World
2452;Club Friendlies 4;World
;;
1937;Bölgesel Amatör Lig - Region 1;Turkey
2441;Bölgesel Amatör Lig - Play-offs;Turkey
2442;Bölgesel Amatör Lig - Region 2;Turkey
2443;Bölgesel Amatör Lig - Region 3;Turkey
2444;Bölgesel Amatör Lig - Region 4;Turkey
2445;Bölgesel Amatör Lig - Region 5;Turkey
2446;Bölgesel Amatör Lig - Region 6;Turkey
2447;Bölgesel Amatör Lig - Region 7;Turkey
2448;Bölgesel Amatör Lig - Region 8;Turkey
2449;Bölgesel Amatör Lig - Region 9;Turkey
;;
1727;Thai League 3 - BKK-Perimeter;Thailand
2507;Thai League 3 - Championship Round;Thailand
2490;Thai League 3 - East;Thailand
2486;Thai League 3 - North;Thailand
2487;Thai League 3 - North East;Thailand
2506;Thai League 3 - Play-offs;Thailand
2488;Thai League 3 - South;Thailand
2492;Thai League 3 - West;Thailand
;;
1620;División De Honor Juvenil - Play-offs;Spain
2495;División De Honor Juvenil - Group 1;Spain
2496;División De Honor Juvenil - Group 2;Spain
2497;División De Honor Juvenil - Group 3;Spain
2498;División De Honor Juvenil - Group 4;Spain
2499;División De Honor Juvenil - Group 5;Spain
2500;División De Honor Juvenil - Group 6;Spain
2501;División De Honor Juvenil - Group 7;Spain
;;
1604;Primera Nacional Femenina - Group 1;Spain
2473;Primera Nacional Femenina - Group 2;Spain
2472;Primera Nacional Femenina - Group 3;Spain
2475;Primera Nacional Femenina - Group 4;Spain
2477;Primera Nacional Femenina - Group 5;Spain
2480;Primera Nacional Femenina - Group 6;Spain
2481;Primera Nacional Femenina - Group 7;Spain
;;
1547;Football League - Lowland League;Scotland
2463;Football League - Highland League;Scotland
2502;Football League - Playoffs;Scotland
;;
1525;FNL 2 - Group 1;Russia
2491;FNL 2 - Group 2;Russia
2493;FNL 2 - Group 3;Russia
2494;FNL 2 - Group 4;Russia
;;
1936;3. Liga - Group 1;Poland
2471;3. Liga - Group 2;Poland
2474;3. Liga - Group 3;Poland
2476;3. Liga - Group 4;Poland
;;
1218;2. Division - Group 1;Norway
2504;2. Division - Final Stages;Norway
1219;2. Division - Group 2;Norway
;;
1776;Liga Alef - North ;Israel
2510;Liga Alef - Promotion Play-offs;Israel
2478;Liga Alef - Süd;Israel
;;
1598;Liga Bet - Play-offs;Israel
2512;Liga Bet - North A;Israel
2513;Liga Bet - North B;Israel
2514;Liga Bet - South A;Israel
2515;Liga Bet - South B;Israel
;;
1759;Super League 2 - Group A;Greece
2479;Super League 2 - Group B;Greece
2509;Super League 2 - Play-offs;Greece
;;
2007;Regionalliga Women - Play-offs;Germany
2464;Regionalliga Women - Nord;Germany
2465;Regionalliga Women - Nordost;Germany
2466;Regionalliga Women - Süd;Germany
2468;Regionalliga Women - Südwest;Germany
2459;Regionalliga Women - West;Germany
;;
205;Second Division - Play-offs;Belarus
2453;Second Division - Brest Region;Belarus
2455;Second Division - Gomel Region;Belarus
2456;Second Division - Grodno Region;Belarus
2457;Second Division - Minsk Region;Belarus
2458;Second Division - Mogilev Region;Belarus
2454;Second Division - Vitebsk Region;Belarus
;;
639;Torneo Federal B - Pampeana Norte;Argentina
2460;Torneo Federal B - Centro;Argentina
2462;Torneo Federal B - Cuyo;Argentina
2503;Torneo Federal B - Final Stages;Argentina
2469;Torneo Federal B - Litoral Norte;Argentina
2470;Torneo Federal B - Litoral Sur;Argentina
2483;Torneo Federal B - Norte;Argentina
2482;Torneo Federal B - Pampeana Sur;Argentina
2484;Torneo Federal B - Patagonica;Argentina
